# Really good reference, not easily parseable:
#  http://obelisk.me.uk/6502/reference.html

# OpCodes in a table that i can parse!
#  http://visual6502.org/wiki/index.php?title=6502_all_256_Opcodes


# A = Opcode in Hex
# B = Mnemonic
# C = number of bytes of opcode
# D = Number of CPU cycles

imm   immediate
rel   relative
izx   indirect x
izy   indirect y
abs   absolute
abx   absolute zero-page x
aby   absolute zero-page y
zp    zero-page   
zpx   zero-page x
zpy   zero-page y
imp   implied (blank below)


#A    B            C D
#BEGIN_OP_CODES
 0xA8 TAY imp 2    1 2
 0xA9 LDA imm 2    2 2
 0xAA TAX imp 2    1 2
 0xAB *LAX imm 2   2 2
 0xAC LDY abs 4    3 4
 0xAD LDA abs 4    3 4
 0xAE LDX abs 4    3 4
 0xAF *LAX abs 4   3 4
 0xB0 BCS rel 2*   2 2
 0xB1 LDA izy 5*   2 5
 0xB2 *KIL imp     1 1
 0xB3 *LAX izy 5*  2 5
 0xB4 LDY zpx 4    2 4
 0xB5 LDA zpx 4    2 4
 0xB6 LDX zpy 4    2 4
 0xB7 *LAX zpy 4   2 4
 0xB8 CLV imp 2    1 2
 0xB9 LDA aby 4*   3 4
 0xBA TSX imp 2    1 2
 0xBB *LAS aby 4*  3 4
 0xBC LDY abx 4*   3 4
 0xBD LDA abx 4*   3 4
 0xBE LDX aby 4*   3 4
 0xBF *LAX aby 4*  3 4
 0xC0 CPY imm 2    2 2
 0xC1 CMP izx 6    2 6
 0xC2 *NOP imm 2   2 2
 0xC3 *DCP izx 8   2 8
 0xC4 CPY zp 3     2 3
 0xC5 CMP zp 3     2 3
 0xC6 DEC zp 5     2 5
 0xC7 *DCP zp 5    2 5
 0xC8 INY imp 2    1 2
 0xC9 CMP imm 2    2 2
 0xCA DEX imp 2    1 2
 0xCB *AXS imm 2   2 2
 0xCC CPY abs 4    3 4
 0xCD CMP abs 4    3 4
 0xCE DEC abs 6    3 6
 0xCF *DCP abs 6   3 6
 0xD0 BNE rel 2*   2 3
 0xD1 CMP izy 5*   2 5
 0xD2 *KIL imp     1 1
 0xD3 *DCP izy 8   2 8
 0xD4 *NOP zpx 4   2 4
 0xD5 CMP zpx 4    2 4
 0xD6 DEC zpx 6    2 6
 0xD7 *DCP zpx 6   2 6
 0xD8 CLD imp 2    1 2
 0xD9 CMP aby 4*   3 4
 0xDA *NOP imp 2   1 2
 0xDB *DCP aby 7   3 7
 0xDC *NOP abx 4*  3 4
 0xDD CMP abx 4*   3 4
 0xDE DEC abx 7    3 7
 0xDF *DCP abx 7   3 7
 0xE0 CPX imm 2    2 2
 0xE1 SBC izx 6    2 6
 0xE2 *NOP imm 2   2 2
 0xE3 *ISC izx 8   2 8
 0xE4 CPX zp 3     2 3
 0xE5 SBC zp 3     2 3
 0xE6 INC zp 5     2 5
 0xE7 *ISC zp 5    2 5
 0xE8 INX imp 2    1 2
 0xE9 SBC imm 2    2 2
 0xEA NOP imp 2    1 2
 0xEB *SBC imm 2   2 2
 0xEC CPX abs 4    3 4
 0xED SBC abs 4    3 4
 0xEE INC abs 6    3 6
 0xEF *ISC abs 6   3 6
 0xF0 BEQ rel 2*   2 2
 0xF1 SBC izy 5*   2 5
 0xF2 *KIL imp     1 1
 0xF3 *ISC izy 8   2 8
 0xF4 *NOP zpx 4   2 4
 0xF5 SBC zpx 4    2 4
 0xF6 INC zpx 6    2 6
 0xF7 *ISC zpx 6   2 6
 0xF8 SED imp 2    1 2
 0xF9 SBC aby 4*   3 4
 0xFA *NOP imp 2   1 2
 0xFB *ISC aby 7   3 7
 0xFC *NOP abx 4*  3 4
 0xFD SBC abx 4*   3 4
 0xFE INC abx 7    3 7
 0xFF *ISC abx     3 7
#END_OP_CODES


